geo,TIME_PERIOD,OBS_VALUE
Austria,2011,95.42
Austria,2021,95.8
Austria,2012,97.63
Austria,2014,98.0
Austria,2015,98.17
Austria,2013,98.67
Austria,2018,98.77
Austria,2020,98.77
Austria,2022,98.81763636363637
Austria,2019,99.36
Austria,2017,99.54
Austria,2016,100.0
Belgio,2018,95.94
Belgio,2012,96.12
Belgio,2011,96.73
Belgio,2015,96.82
Belgio,2016,97.2
Belgio,2019,97.6
Belgio,2017,98.0
Belgio,2013,98.25
Belgio,2014,98.4
Belgio,2022,99.16072727272729
Belgio,2020,100.0
Belgio,2021,100.0
Bulgaria,2011,88.45
Bulgaria,2016,98.85
Bulgaria,2018,99.11
Bulgaria,2017,99.36
Bulgaria,2015,99.49
Bulgaria,2014,99.67
Bulgaria,2020,99.7
Bulgaria,2012,99.74
Bulgaria,2013,99.83
Bulgaria,2019,99.83
Bulgaria,2021,100.0
Bulgaria,2022,100.0
Cipro,2011,96.78
Cipro,2018,99.39
Cipro,2013,99.45
Cipro,2017,99.51
Cipro,2020,99.69
Cipro,2012,99.74
Cipro,2016,99.8
Cipro,2019,99.81
Cipro,2014,99.85
Cipro,2015,99.93
Cipro,2021,100.0
Cipro,2022,100.0
Croazia,2012,90.1
Croazia,2011,91.83
Croazia,2013,98.57
Croazia,2015,98.86
Croazia,2018,99.27
Croazia,2016,99.4
Croazia,2017,99.4
Croazia,2014,99.53
Croazia,2021,99.97
Croazia,2019,100.0
Croazia,2020,100.0
Croazia,2022,100.0
Danimarca,2014,91.72
Danimarca,2015,91.78
Danimarca,2012,92.15
Danimarca,2011,93.13
Danimarca,2013,94.04
Danimarca,2017,94.95
Danimarca,2021,96.18
Danimarca,2019,96.96
Danimarca,2016,97.09
Danimarca,2020,97.09
Danimarca,2018,97.44
Danimarca,2022,97.95981818181826
Estonia,2011,93.58
Estonia,2014,97.96
Estonia,2018,98.69
Estonia,2013,98.88
Estonia,2012,98.94
Estonia,2016,98.96
Estonia,2017,98.97
Estonia,2021,98.97
Estonia,2020,99.04
Estonia,2015,99.07
Estonia,2019,99.53
Estonia,2022,100.0
Finlandia,2011,96.6
Finlandia,2012,97.89
Finlandia,2013,98.61
Finlandia,2019,98.63
Finlandia,2018,98.64
Finlandia,2020,98.78
Finlandia,2021,98.88
Finlandia,2017,98.93
Finlandia,2014,98.99
Finlandia,2016,99.2
Finlandia,2022,99.35636363636365
Finlandia,2015,99.55
Francia,2017,91.63
Francia,2018,91.81
Francia,2019,91.87
Francia,2015,92.09
Francia,2011,92.14
Francia,2016,92.33
Francia,2014,92.45
Francia,2022,92.63381818181821
Francia,2020,94.41
Francia,2021,94.41
Francia,2013,95.91
Francia,2012,96.54
Germania,2011,93.11
Germania,2012,95.35
Germania,2018,95.61
Germania,2013,96.63
Germania,2021,96.69
Germania,2014,96.76
Germania,2016,97.25
Germania,2015,97.28
Germania,2017,98.65
Germania,2022,98.96763636363642
Germania,2020,98.99
Germania,2019,99.05
Grecia,2011,90.46
Grecia,2012,94.26
Grecia,2013,97.71
Grecia,2016,98.45
Grecia,2015,98.54
Grecia,2014,98.64
Grecia,2019,99.39
Grecia,2020,99.47
Grecia,2018,99.52
Grecia,2017,99.56
Grecia,2021,99.9
Grecia,2022,100.0
Irlanda,2012,80.71
Irlanda,2013,81.32
Irlanda,2011,83.75
Irlanda,2021,95.74
Irlanda,2014,96.81
Irlanda,2015,97.44
Irlanda,2016,98.73
Irlanda,2018,98.86
Irlanda,2019,99.28
Irlanda,2017,99.63
Irlanda,2020,100.0
Irlanda,2022,100.0
Islanda,2014,96.05
Islanda,2021,96.48
Islanda,2019,96.78
Islanda,2022,96.8703636363636
Islanda,2018,97.82
Islanda,2012,98.04
Islanda,2020,98.21
Islanda,2015,98.29
Islanda,2016,98.29
Islanda,2017,98.29
Islanda,2013,99.04
Islanda,2011,99.81
Italia,2011,83.92
Italia,2012,87.53
Italia,2021,97.79
Italia,2014,97.86
Italia,2017,98.07
Italia,2018,98.18
Italia,2016,98.25
Italia,2019,98.3
Italia,2013,98.42
Italia,2020,98.47
Italia,2015,98.53
Italia,2022,100.0
Lettonia,2011,93.31
Lettonia,2018,96.58
Lettonia,2016,97.08
Lettonia,2017,97.31
Lettonia,2019,97.49
Lettonia,2020,97.58
Lettonia,2015,97.87
Lettonia,2013,97.95
Lettonia,2012,97.97
Lettonia,2022,98.16054545454546
Lettonia,2021,98.17
Lettonia,2014,99.6
Lituania,2011,92.54
Lituania,2015,98.63
Lituania,2016,98.99
Lituania,2013,99.02
Lituania,2014,99.09
Lituania,2012,99.15
Lituania,2021,99.3
Lituania,2018,99.38
Lituania,2017,99.61
Lituania,2020,99.64
Lituania,2019,99.8
Lituania,2022,100.0
Lussemburgo,2012,72.91
Lussemburgo,2013,73.98
Lussemburgo,2011,74.75
Lussemburgo,2014,96.99
Lussemburgo,2021,98.16
Lussemburgo,2015,98.26
Lussemburgo,2016,99.73
Lussemburgo,2017,99.81
Lussemburgo,2018,99.87
Lussemburgo,2019,100.0
Lussemburgo,2020,100.0
Lussemburgo,2022,100.0
Macedonia del Nord,2017,91.25
Macedonia del Nord,2022,97.51945454545455
Macedonia del Nord,2019,98.48
Macedonia del Nord,2018,98.6
Macedonia del Nord,2020,98.91
Macedonia del Nord,2014,99.12
Macedonia del Nord,2016,99.21
Macedonia del Nord,2021,99.25
Macedonia del Nord,2015,99.45
Macedonia del Nord,2013,99.5
Macedonia del Nord,2011,99.65
Macedonia del Nord,2012,99.65
Malta,2014,99.26
Malta,2011,99.51
Malta,2015,99.76
Malta,2016,99.77
Malta,2019,99.8
Malta,2012,99.83
Malta,2013,99.93
Malta,2017,100.0
Malta,2018,100.0
Malta,2020,100.0
Malta,2021,100.0
Malta,2022,100.0
Norvegia,2011,87.11
Norvegia,2012,92.57
Norvegia,2013,93.15
Norvegia,2015,94.3
Norvegia,2014,94.41
Norvegia,2017,97.1
Norvegia,2018,98.0
Norvegia,2019,99.04
Norvegia,2016,99.08
Norvegia,2021,99.67
Norvegia,2020,99.8
Norvegia,2022,100.0
Paesi Bassi,2011,88.57
Paesi Bassi,2012,90.29
Paesi Bassi,2013,91.83
Paesi Bassi,2015,97.96
Paesi Bassi,2014,98.53
Paesi Bassi,2016,98.71
Paesi Bassi,2018,99.4
Paesi Bassi,2019,99.51
Paesi Bassi,2017,99.56
Paesi Bassi,2020,100.0
Paesi Bassi,2021,100.0
Paesi Bassi,2022,100.0
Polonia,2011,91.72
Polonia,2015,93.69
Polonia,2016,94.11
Polonia,2018,94.23
Polonia,2017,94.82
Polonia,2012,95.04
Polonia,2014,95.14
Polonia,2013,95.67
Polonia,2019,96.02
Polonia,2022,98.30000000000007
Polonia,2020,99.1
Polonia,2021,99.24
Portogallo,2021,96.29
Portogallo,2019,96.31
Portogallo,2022,96.53527272727274
Portogallo,2020,96.65
Portogallo,2018,96.85
Portogallo,2015,97.59
Portogallo,2011,97.65
Portogallo,2014,97.68
Portogallo,2012,97.91
Portogallo,2016,98.51
Portogallo,2013,98.84
Portogallo,2017,99.26
Repubblica Ceca,2011,95.21
Repubblica Ceca,2012,95.5
Repubblica Ceca,2013,95.55
Repubblica Ceca,2015,96.28
Repubblica Ceca,2014,97.34
Repubblica Ceca,2016,98.37
Repubblica Ceca,2018,99.32
Repubblica Ceca,2017,99.57
Repubblica Ceca,2019,100.0
Repubblica Ceca,2020,100.0
Repubblica Ceca,2021,100.0
Repubblica Ceca,2022,100.0
Romania,2011,64.76
Romania,2012,93.76
Romania,2014,95.32
Romania,2015,96.44
Romania,2016,96.83
Romania,2020,96.92
Romania,2013,97.07
Romania,2017,97.28
Romania,2018,97.48
Romania,2019,97.86
Romania,2021,99.39
Romania,2022,100.0
Serbia,2011,93.73
Serbia,2012,93.73
Serbia,2013,93.73
Serbia,2014,93.73
Serbia,2015,93.73
Serbia,2016,95.81
Serbia,2017,95.81
Serbia,2019,98.59
Serbia,2018,99.5
Serbia,2020,99.76
Serbia,2021,99.9
Serbia,2022,100.0
Slovacchia,2011,78.17
Slovacchia,2013,90.08
Slovacchia,2012,95.52
Slovacchia,2017,97.03
Slovacchia,2016,97.06
Slovacchia,2014,97.53
Slovacchia,2015,97.63
Slovacchia,2018,97.71
Slovacchia,2019,97.77
Slovacchia,2020,98.72
Slovacchia,2021,99.97
Slovacchia,2022,100.0
Slovenia,2011,92.23
Slovenia,2013,98.11
Slovenia,2014,98.16
Slovenia,2012,99.14
Slovenia,2015,99.94
Slovenia,2016,100.0
Slovenia,2017,100.0
Slovenia,2018,100.0
Slovenia,2019,100.0
Slovenia,2020,100.0
Slovenia,2021,100.0
Slovenia,2022,100.0
Spagna,2011,96.88
Spagna,2014,98.2
Spagna,2012,98.32
Spagna,2013,98.71
Spagna,2015,98.82
Spagna,2016,99.05
Spagna,2017,99.16
Spagna,2019,99.71
Spagna,2018,99.72
Spagna,2020,99.9
Spagna,2021,99.99
Spagna,2022,100.0
Svezia,2015,91.12
Svezia,2011,94.35
Svezia,2016,94.48
Svezia,2012,94.88
Svezia,2013,96.6
Svezia,2014,96.6
Svezia,2020,96.87
Svezia,2021,97.57
Svezia,2018,97.8
Svezia,2017,98.25
Svezia,2022,98.29436363636364
Svezia,2019,98.73
Svizzera,2011,94.8
Svizzera,2012,94.8
Svizzera,2013,94.8
Svizzera,2014,94.8
Svizzera,2015,95.30666666666666
Svizzera,2016,95.81333333333333
Svizzera,2017,96.32
Svizzera,2018,98.05
Svizzera,2021,99.39
Svizzera,2020,99.58500000000001
