DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2009,1822,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2010,1840,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2011,1862,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2012,1885,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2013,1897,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2014,1908,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2015,1923,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2016,1956,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2017,1977,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2018,1993,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2019,2014,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2020,1966,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2021,1988,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,AT,2022,2058,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2009,1984,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2010,2018,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2011,2036,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2012,2046,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2013,2065,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2014,2095,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2015,2102,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2016,2107,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2017,2126,b
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2018,2204,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2019,2245,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2020,2218,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2021,2259,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BE,2022,2331,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2009,1479,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2010,1398,b
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2011,1364,b
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2012,1356,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2013,1350,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2014,1364,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2015,1382,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2016,1366,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2017,1414,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2018,1413,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2019,1441,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2020,1387,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2021,1391,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,BG,2022,1432,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2009,,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2010,1872,b
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2011,1916,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2012,1945,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2013,1966,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2014,2007,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2015,2042,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2016,2075,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2017,2079,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2018,2099,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2019,2126,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2020,2123,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2021,2119,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CH,2022,2132,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2009,175,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2010,183,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2011,186,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2012,181,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2013,173,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2014,176,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2015,172,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2016,172,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2017,179,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2018,188,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2019,192,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2020,192,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2021,199,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CY,2022,209,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CZ,2009,2081,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CZ,2010,2057,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CZ,2011,2064,b
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,CZ,2012,2079,
